num,x,y,spp,dbh01,dbh04,hgt
1,3.274086193,1.380907264,lc,27.78845306,28.26591789,18.8
2,4.322592118,0.772253938,lc,13.1461983,13.30535324,9.8
3,7.757355185,0.351795994,bp,1.89,2.355493158,3.8
4,9.627327531,3.056552398,bp,1.24,1.718873385,3.1
5,9.585109657,3.238448931,lc,10.37690229,10.59971921,8.7
6,4.157341839,5.813532654,sorbus commixta,6.366197724,6.939155519,6.5
7,3.498593412,5.538078425,lc,18.4619734,19.03493119,16
8,3.826887738,6.304417469,bp,3.38,4.169859509,4.3
9,3.553023623,6.203156162,bp,2.41,2.737465021,2.8
10,1.072319845,3.79193024,lc,12.47774754,12.60507149,10.5
11,1.385664461,4.563821747,lc,8.785352859,9.071831756,8
12,2.326204791,8.477774239,lc,26.86535439,27.91577702,17.4
13,3.426798985,9.240296955,lc,16.2338042,15.69267739,14.1
14,11.9113831,2.700695051,lc,19.32141009,19.60788899,17.5
15,14.00234001,2.013206265,lc,28.32957987,28.48873481,20.8
16,14.58243302,2.344051507,lc,17.09324089,17.44338176,10.8
17,17.17660428,0.789985593,af,2.37,2.610141067,3.5
18,14.68709705,6.283593104,lc,33.74084794,34.31380573,18.8
19,10.45464983,8.512082991,lc,23.26845268,22.95014279,18.4
20,15.93481913,9.304270772,bp,22.18619907,22.95014279,17.3
21,16.82139768,4.240748304,af,3.45,3.278591828,2.9
22,17.03832143,3.322754847,af,3.31,3.978873577,4.9
23,17.12396801,3.460992472,af,1.86,2.864788976,3.6
24,17.21738846,3.425318673,af,1.34,1.55,3.2
25,16.96408026,3.892555298,af,0.6,1.56,2
26,17.38775758,3.395010499,af,0.77,1.07,2.3
27,17.34448359,2.85111974,af,0.9,1.12,0
28,17.42513184,3.241236785,af,0.81,0.86,0
29,17.55131202,3.262682549,af,1.61,1.814366351,2.2
30,17.29825629,2.870173258,af,4.82,4.901972247,4.3
31,17.29769095,3.081417224,af,3.28,4.010704566,5
32,17.50431332,3.420561175,af,3.32,3.660563691,5.5
33,17.37652459,3.709785912,af,4.8,4.806479281,4.9
34,17.21696918,4.038089881,af,5.16,5.729577951,6.9
35,17.18048284,3.814645576,af,2.4,3.596901714,4
36,16.87067783,4.355150163,af,4.21,4.679155327,4.8
37,17.0619539,4.456235121,af,5.13,5.53859202,6.9
38,17.10024389,4.509712323,af,3.49,3.660563691,3.7
39,17.5928541,4.181719791,af,3.49,4.201690498,6.5
40,17.640981,4.199940563,af,3.81,5.220282133,7
41,17.46998603,4.256160849,af,6.302535746,6.90732453,5.9
42,17.3003325,4.478759614,af,1.25,1.527887454,3.5
43,17.47068231,4.758544118,af,1.4,1.687042397,0
44,17.38492208,4.751182567,af,0.89,0.891267681,0
45,17.36577569,4.756963203,af,0.77,0.859436693,0
46,17.28919013,4.780085747,af,4.55,5.53859202,6.4
47,17.15253386,4.951734752,af,4.39,5.283944111,6.6
48,16.89986437,4.671493233,af,5.98422586,6.589014644,6.8
49,17.21806578,4.997689469,af,4.75,5.188451145,4
50,12.15980333,10.70112985,bp,8.307888029,8.307888029,5.8
51,14.66972592,12.66594103,lc,18.30281846,18.87577625,13.8
52,15.46389952,13.74111102,lc,23.39577663,23.30028367,18
53,11.27459269,13.83818443,lc,23.84141048,24.25521333,18.3
54,10.26009449,14.80617946,lc,24.12788937,25.08281903,20.8
55,11.32720069,14.99589077,lc,14.06929697,14.38760686,13.2
56,13.454595,14.84395226,bp,0.23,0,1.2
57,16.04112701,18.03279804,lc,23.23662169,23.23662169,18
58,16.76393552,18.10400307,bp,4.265352475,4.806479281,5.8
59,17.15797834,18.36850519,bp,2.1,2.260000192,1.3
60,16.70193839,18.00222807,bp,11.80929678,11.96845172,8.9
61,16.75687558,18.50124819,bp,4.074366543,4.360845441,4.8
62,16.82220318,18.57134064,bp,3.851549623,4.583662361,5.9
63,16.62953596,19.83468015,lc,15.75633937,16.04281826,13.7
64,13.98417103,19.71925206,lc,12.63690248,13.24169127,11.9
65,12.43323761,18.22938045,bp,6.079718826,6.429859701,5.1
66,11.13052151,20.59945239,lc,25.01915705,25.30563595,18.5
67,3.659156888,11.25994876,lc,13.30535324,13.52817016,12
68,0.173054468,11.40941554,bp,0.36,0.56,1.5
69,0.169432777,11.51052724,bp,0.49,0.76,1.9
70,0.169432777,11.51052724,bp,0.91,0.86,0
71,5.023901706,12.1636339,lc,26.13324166,27.31098823,19
72,8.033570294,12.34918035,bp,5.952394872,5.98422586,8.2
73,9.768476375,10.64882148,bp,5.793239929,6.875493542,6.2
74,9.823547601,10.72139624,bp,3.15,3.724225668,4.5
75,9.752137296,10.3916863,bp,0.26,0.29,1.4
76,9.48661202,10.79661307,bp,0.27,0,1.5
77,5.20454851,12.7789701,lc,12.60507149,12.8597194,10.6
78,3.715008555,14.24362009,lc,22.91831181,23.14112873,18.9
79,1.876620648,16.58792797,bp,15.08788861,14.92873366,11.6
80,2.453480415,16.92841496,lc,9.230986699,9.485634608,7.3
81,5.687936563,19.39189958,lc,20.9766215,21.16760743,19.3
82,8.588312804,18.38098343,lc,12.66873347,13.08253632,12.9
83,1.601405654,23.05207851,lc,22.60000192,22.31352302,20.2
84,1.950339134,23.57404015,bp,4.43,0,0
85,0.384002914,24.08419912,lc,20.84929755,21.64507226,16.3
86,2.061185277,23.70777299,bp,2.98,3.21492985,4.3
87,1.861904153,23.86750491,bp,1.6,1.82,3.8
88,6.588183478,23.63698908,lc,25.30563595,25.52845287,19.7
89,9.453717384,20.52573616,bp,2.96,3.342253805,4.6
90,9.396010703,23.09637074,lc,18.11183252,18.30281846,17.7
91,9.073030784,25.4841581,lc,28.45690382,29.06169261,20.9
92,5.714776701,25.54699413,lc,17.02957891,17.18873385,13.8
93,8.171439206,27.28904714,lc,8.403380995,8.912676813,7.6
94,2.896551739,29.27845804,lc,16.87042397,17.28422682,15.7
95,4.233246224,28.7531837,lc,16.99774792,17.18873385,12.5
96,4.065420436,29.18706372,lc,22.91831181,23.65042454,17
97,9.026821127,29.76995026,bp,2.16,2.832957987,3.1
98,14.6681931,21.50858827,lc,26.2923966,27.1200023,19.8
99,19.91240985,23.70939343,lc,16.93408594,17.60253671,13
100,19.20041931,24.53719078,lc,32.81774927,33.48620003,18.7
101,18.63352419,24.9144656,lc,9.612958563,9.549296586,5.1
102,13.28027351,26.25297375,bp,14.13295895,14.13295895,11.7
103,10.14612495,26.65318846,lc,13.56000115,13.94197301,12.8
104,13.19007931,26.49414861,bp,1.82,2.228169203,1.9
105,19.17327653,27.81461727,lc,19.13042416,19.41690306,16.3
106,12.0438557,32.41003192,lc,21.29493139,21.04028348,0
107,16.15115611,31.16227301,lc,22.05887511,22.34535401,15.7
108,17.92018926,31.12720986,bp,0.99,0.84,1.5
109,19.53532289,33.56511114,lc,19.25774811,19.8625369,16.1
110,16.14147797,33.92763902,lc,17.0614099,17.02957891,15.9
111,12.69883956,35.81415213,lc,21.48591732,22.21803006,17
112,17.36040106,38.3487362,bp,4.647324338,4.774648293,5.1
113,14.28260677,38.70340619,lc,12.3185926,12.5732405,12.7
114,-0.097501512,31.98105104,lc,18.93943823,19.09859317,13.6
115,4.492425171,29.836539,lc,8.97633879,8.97633879,2.1
116,8.573776002,33.91851823,bp,1.91,1.92,3.2
117,8.507447917,34.59360297,lc,14.73774773,15.21521256,12
118,6.714235368,32.67980424,lc,28.39324185,29.18901656,18.9
119,0.586892481,34.6522475,lc,16.4884521,16.774931,11.2
120,2.671769976,36.37033317,bp,9.644789551,10.59971921,7.3
121,2.907135255,36.66064334,bp,7.734930234,7.989578143,5.7
122,3.282580588,36.78813498,lc,17.47521275,18.11183252,12.3
123,3.371224653,35.80305414,bp,1.39,1.878028328,3.7
124,3.421525919,35.79970506,bp,3.01,3.023943919,3.6
125,4.98342774,37.21790155,bp,1.28,1.273239545,2.4
126,5.604086882,37.34503559,bp,3.65,4.042535555,5.4
127,8.069155688,36.91550723,lc,18.81211427,18.58929735,17.1
128,1.349875149,42.68060882,lc,23.84141048,24.09605838,17.5
129,4.6753862,40.96560933,lc,8.75352187,8.75352187,7.3
130,7.907537245,41.07404622,lc,16.52028309,16.71126902,14.9
131,7.959370005,43.03119063,lc,18.04817055,18.33464944,17.6
132,9.532843537,44.08225354,lc,18.27098747,18.36648043,17.5
133,9.683284823,43.95640683,lc,16.42479013,16.39295914,0
134,5.900306326,45.30026509,lc,24.66901618,25.33746694,16.9
135,7.805854709,46.66618812,lc,18.08000154,18.71662131,14.8
136,10.05707215,46.34990039,lc,15.88366332,16.07464925,15.9
137,6.208021887,48.63816788,lc,23.01380477,23.07746675,15.5
138,13.70887618,41.14929314,lc,23.61859355,24.03239641,17.6
139,18.60910823,40.86199132,lc,7.925916166,8.116902098,7.7
140,18.90262923,43.76136958,lc,14.57859279,14.92873366,14.4
141,18.1457306,43.50333192,pt,0.4,0.98,2
142,15.88260708,42.96813533,lc,19.09859317,19.41690306,18
143,13.08933263,42.48341395,lc,17.85718461,17.8890156,17.5
144,12.36304395,44.589874,lc,26.13324166,26.13324166,18.7
145,16.82794799,44.84502362,lc,14.10112796,13.71915609,13.6
146,15.11500565,46.22272533,lc,14.73774773,14.96056465,13.6
147,12.66017195,48.01464918,lc,11.65014183,11.87295875,10.5
148,14.1137735,49.52125425,lc,21.99521314,21.83605819,16.6
