#num,x,y,spp,dbh01,dbh04,hgt,sprout
1,2.971934265,8.798670724,lc,13.11436731,0,9,0
2,4.534751275,8.606925568,bp,4.710986316,4.965634224,3.8,4
3,4.649050118,8.685680649,bp,3.596901714,3.533239737,3.1,4
4,4.541337313,8.74979935,bp,8.276057041,8.912676813,8.3,4
5,4.442832544,8.562818777,bp,1.69,1.92,3.6,4
6,4.289145621,8.931242653,bp,2.51,2.801126998,5.3,4
7,4.307478628,9.057609198,bp,1.83,2.355493158,3.5,4
8,4.384790974,9.080474258,bp,2.84,3.21492985,4,4
9,4.467092129,9.014438999,bp,5.156620156,5.411268065,6,4
10,4.573330983,9.237331407,bp,2.42,2.419155135,4.1,4
11,4.65433204,9.105441976,bp,7.894085177,8.244226052,6.6,4
12,4.357567182,8.892998692,bp,0.76,0.71,2.1,4
13,4.905947437,8.729910048,bp,0.54,0.59,1.7,4
14,4.905947437,8.729910048,bp,0.81,1.33,2.1,4
15,4.913632476,8.918859208,bp,0.39,0.85,1.5,4
16,5.112872629,4.97445664,lc,22.98197378,0,9.8,0
17,9.484544485,3.861603987,lc,12.47774754,0,9.4,0
18,9.983803476,12.31994346,lc,9.708451529,0,7.6,0
19,6.909316774,17.28119339,bp,11.04535305,0,5,19
20,6.899912072,17.63459592,bp,10.40873328,11.42732491,8.2,19
21,6.890765275,17.69562599,bp,4.297183463,4.551831372,5.5,19
22,6.833333726,17.8773298,bp,4.456338407,4.61549335,4,19
23,6.988692959,17.92732174,bp,2.896619964,2.960281942,2.9,19
24,6.597033223,17.7890832,bp,1.76,1.909859317,3.1,19
25,6.590440656,17.62216538,bp,1.98,2.196338215,3.7,19
26,1.739478099,16.78526919,lc,3.787887646,4.901972247,4.1,0
27,1.225162396,21.39949173,lc,0.64,0,1.7,0
28,0.569129834,24.63519053,lc,1.18,0,2.2,0
29,0.666363461,24.8645719,lc,1.5,2.03,2,0
30,8.302944683,22.16275509,bp,1.82,2.705634033,3.8,37
31,8.418489093,22.1145783,bp,4.297183463,4.61549335,3.7,37
32,8.640717582,22.44507662,bp,18.23915648,18.52563538,11.9,37
33,8.507267028,22.71501523,bp,13.59183214,13.68732511,5.8,37
34,8.811950518,22.14812198,bp,5.856901906,6.68450761,4.3,37
35,8.946126596,22.23051988,bp,0.62,1.06,2.1,37
36,8.916752409,22.42262801,bp,2.99211293,3.9152116,4.5,37
37,8.925955508,22.88300507,bp,15.40619849,16.71126902,14.2,37
38,9.04454747,22.93875162,bp,4.679155327,0,1.7,37
39,7.61410083,23.66441926,lc,8.785352859,0,5.2,0
40,6.420031139,24.87306887,lc,12.8597194,0,8.2,0
41,6.091883727,26.62487378,lc,11.26816997,0,4,0
42,6.367279825,26.70971293,lc,0.5,1.16,1.7,0
43,6.053356138,26.91469301,lc,0.86,1.74,1.9,0
44,6.760642203,30.02306425,lc,4.456338407,0,4.2,0
45,3.822607795,29.70425523,lc,1.32,2.641972055,2.1,0
46,2.086986848,29.18590692,lc,1.74,0,3.8,0
47,1.795639267,29.97974346,lc,2.06,3.565070725,3.3,0
48,0.327064133,28.51372005,lc,1.98,0,2.8,0
49,0.07138306,28.17968853,lc,1.83,0,2.9,0
50,1.070079198,30.0129831,bp,1.54,1.55,2.2,50
51,1.087553512,30.01110021,bp,0.57,1.15,2,50
52,2.36420662,35.45015945,lc,5.092958179,0,5.1,0
53,3.391601794,37.77939924,lc,4.329014452,0,2.1,0
54,3.183721894,39.87663993,lc,6.939155519,0,4.8,0
55,3.717645281,39.48857905,lc,14.76957872,0,12,0
56,4.210054813,38.68148652,lc,1.74,0,2.1,0
57,4.326916842,39.67994641,lc,2.5,0,3.2,0
58,5.641860825,31.12071519,lc,0.62,1.3,1.8,0
59,9.461506774,30.50806783,lc,2.23,0,3.4,0
60,8.411664196,38.28826961,lc,22.75915686,0,13.1,0
61,8.558256836,40.55989154,lc,2.35,0,3.2,0
62,8.140401059,40.77185525,lc,1.64,0,2.5,0
63,6.947155442,41.76831485,lc,2.32,2.48,2.9,0
64,6.952318085,42.0499359,lc,1.38,1.98,3.2,0
65,7.383597474,42.4573393,lc,5.124789168,0,5.1,0
66,6.799524308,42.37986973,lc,5.634084985,0,5.5,0
67,3.809298743,42.76347168,lc,3.087605896,0,3.7,0
68,2.094129029,41.35758,lc,10.66338119,0,2.2,0
69,3.513090537,47.80897508,lc,5.188451145,6.238873769,5.4,0
70,4.830692327,46.32037256,lc,13.1461983,14.16478994,9.7,0
71,9.974723798,48.32314466,lc,0.6,0.82,1.7,0
72,10.97700002,48.18155678,lc,0.8,1.23,1.8,0
73,10.84972358,47.7325831,lc,6.334366735,0,5.4,0
74,11.40746122,46.88392165,lc,18.36648043,18.71662131,11.3,0
75,12.35848164,45.37054905,lc,4.583662361,5.53859202,3.7,0
76,14.75055957,45.80967083,lc,2.24,0,3.3,0
77,14.92343343,45.14794831,lc,6.525352667,0,5.1,0
